칼럼명,설명,변수타입,키,속성,비고
User,,,,,
uid,유저아이디,INT,primary key,"AI, not null, unique",
nickname,닉네임,VARCHAR(255),,"not null, unique",
password,비밀번호,VARCHAR(255),,not null,
age,나이,INT,,,
,,,,,
Plant,,,,,
pid,식물 아이디,INT,primary key,"AI, not null, unique",
uid,유저아이디,INT,foreign key,"not null, unique",
experience,경험치,INT,,not null,
level,다육이 레벨,INT,,not null,
,,,,,
Plant_event,,,,,
eid,이벤트 아이디,INT,primary key,"AI, not null, unique",
pid,식물 아이디,INT,,not null,
event_date,이벤트 날짜,DATETIME,,not null,
event_num,이벤트 번호,INT,,not null,
,,,,,
Event,,,,,
eid,이벤트 아이디,INT,primary key,"AI, not null, unique",
event_content,이벤트 내용,TEXT,,not null,
,,,,,
Diary,,,,,
did,일기 아이디,INT,primary key,"AI, not null, unique",
uid,유저 아이디,INT,,,
diary_content,일기 내용,,,,
erid,감정 비율 아이디?,,,,
review_content,한줄평 내용,,,,
,,,,,
emotion,,,,,
eid,감정아이디,INT,primary key,"AI, not null, unique",
emotion,감정,,,,
,,,,,
emotinon_rate,,,,,
erid,감정 비율 아이디,INT,primary key,"AI, not null, unique",
happiness,행복 비율,,,,
angry,놀람 비율,,,,
disgust,혐오 비율,,,,
fear,공포 비율,,,,
neutral,중립 비율,,,,
sadness,슬픔 비율,,,,
surprise,놀람 비율,,,,
,,,,,